Date,Anderson,Andrews,Angelina,Aransas,Archer,Armstrong,Atascosa,Austin,Bailey,Bandera,Bastrop,Baylor,Bee,Bell,Bexar,Blanco,Borden,Bosque,Bowie,Brazoria,Brazos,Brewster,Briscoe,Brooks,Brown,Burleson,Burnet,Caldwell,Calhoun,Callahan,Cameron,Camp,Carson,Cass,Castro,Chambers,Cherokee,Childress,Clay,Cochran,Coke,Coleman,Collin,Collingsworth,Colorado,Comal,Comanche,Concho,Cooke,Coryell,Cottle,Crane,Crockett,Crosby,Culberson,Dallam,Dallas,Dawson,Deaf Smith,Delta,Denton,DeWitt,Dickens,Dimmit,Donley,Duval,Eastland,Ector,Edwards,Ellis,El Paso,Erath,Falls,Fannin,Fayette,Fisher,Floyd,Foard,Fort Bend,Franklin,Freestone,Frio,Gaines,Galveston,Garza,Gillespie,Glasscock,Goliad,Gonzales,Gray,Grayson,Gregg,Grimes,Guadalupe,Hale,Hall,Hamilton,Hansford,Hardeman,Hardin,Harris,Harrison,Hartley,Haskell,Hays,Hemphill,Henderson,Hidalgo,Hill,Hockley,Hood,Hopkins,Houston,Howard,Hudspeth,Hunt,Hutchinson,Irion,Jack,Jackson,Jasper,Jeff Davis,Jefferson,Jim Hogg,Jim Wells,Johnson,Jones,Karnes,Kaufman,Kendall,Kenedy,Kent,Kerr,Kimble,King,Kinney,Kleberg,Knox,Lamar,Lamb,Lampasas,La Salle,Lavaca,Lee,Leon,Liberty,Limestone,Lipscomb,Live Oak,Llano,Loving,Lubbock,Lynn,McCulloch,McLennan,McMullen,Madison,Marion,Martin,Mason,Matagorda,Maverick,Medina,Menard,Midland,Milam,Mills,Mitchell,Montague,Montgomery,Moore,Morris,Motley,Nacogdoches,Navarro,Newton,Nolan,Nueces,Ochiltree,Oldham,Orange,Palo Pinto,Panola,Parker,Parmer,Pecos,Polk,Potter,Presidio,Rains,Randall,Reagan,Real,Red River,Reeves,Refugio,Roberts,Robertson,Rockwall,Runnels,Rusk,Sabine,San Augustine,San Jacinto,San Patricio,San Saba,Schleicher,Scurry,Shackelford,Shelby,Sherman,Smith,Somervell,Starr,Stephens,Sterling,Stonewall,Sutton,Swisher,Tarrant,Taylor,Terrell,Terry,Throckmorton,Titus,Tom Green,Travis,Trinity,Tyler,Upshur,Upton,Uvalde,Val Verde,Van Zandt,Victoria,Walker,Waller,Ward,Washington,Webb,Wharton,Wheeler,Wichita,Wilbarger,Willacy,Williamson,Wilson,Winkler,Wise,Wood,Yoakum,Young,Zapata,Zavala
4/22/20,12,0,29,1,1,1,3,2,0,1,17,0,11,71,530,3,0,1,89,66,78,0,0,0,0,2,1,3,8,0,45,2,0,2,4,2,8,1,2,0,0,-1,278,1,4,12,-5,0,2,23,0,0,0,0,-1,0,923,1,3,2,218,6,0,1,0,0,6,32,0,55,219,-2,1,20,4,2,0,0,382,0,6,0,0,62,0,3,0,1,2,1,33,135,3,18,4,0,4,-1506,0,2,1657,24,0,2,60,-5,8,51,7,0,4,1,13,8,0,16,-1,0,0,5,1,0,48,0,8,48,0,1,7,4,0,0,14,0,0,0,13,0,8,1,3,0,6,0,0,17,3,0,0,0,0,183,0,0,60,0,0,0,3,0,-3,4,4,0,68,0,1,0,3,179,28,0,0,50,11,31,3,37,0,0,1,0,5,22,0,4,14,128,0,3,11,-1,0,0,0,6,0,0,10,5,6,-3,-1,1,6,0,0,0,16,11,0,142,0,2,0,0,0,-1,-3,548,50,0,0,0,6,14,305,1,2,0,0,7,0,7,36,70,8,0,6,199,13,0,103,1,3,128,0,0,7,6,0,11,0,0
4/23/20,15,3,120,-2,4,3,-8,-89,1,5,-96,3,-101,49,216,137,0,-59,-18,167,-119,-7,5,-11,2,16,31,92,51,5,12,-42,3,-7,-1,19,-5,1,29,0,4,-6,613,0,-64,78,7,4,-38,-68,2,-17,0,1,-2,0,179,3,-2,0,-684,1,2,5,9,8,13,-107,1,-22,565,4,-23,-4,-43,-6,2,1,328,1,-17,5,12,54,0,-10,1,19,24,3,-70,179,48,-92,-4,4,-75,-1,1,298,3040,-180,0,-11,-79,-3,-14,-212,30,2,-20,-11,-11,-30,0,40,3,0,11,32,1,0,234,5,-48,-231,0,13,58,-30,0,1,-191,0,0,1,-115,-5,-20,5,4,6,-13,8,2,2,-63,2,8,8,0,-314,-8,1,-105,1,14,4,-38,1,69,45,37,2,-199,-6,-1,1,-7,564,14,10,0,-229,-76,57,7,97,1,1,297,7,-35,-19,1,4,-18,-149,-2,5,127,1,0,2,5,-19,0,25,0,-10,-19,8,7,2,35,2,-1,-1,-377,47,1,-63,-41,11,-1,2,0,3,6,-71,250,0,-2,3,-18,173,-425,19,0,7,-2,-10,8,23,317,-339,10,-44,-28,-228,-160,1,-371,6,49,-473,14,3,-48,-27,-12,-226,3,3
4/24/20,32,1,3,9,5,0,24,138,0,10,229,0,56,86,-1789,53,0,81,152,11,99,9,0,14,4,10,17,37,-46,2,-176,20,0,44,0,19,-93,1,6,1,1,25,30,5,33,38,2,1,49,124,1,16,0,0,9,0,2692,2,4,2,828,21,1,1,0,4,6,-15,0,224,452,24,25,60,62,8,1,0,8920,1,40,5,-10,101,0,10,0,2,4,11,146,-66,34,184,13,1,85,0,0,-298,3343,181,5,14,109,31,34,711,61,0,18,11,13,27,0,40,3,0,5,9,0,0,868,0,68,297,1,1,97,30,0,0,244,2,0,0,117,8,5,0,16,1,49,16,16,29,100,0,17,14,0,458,5,0,13,0,10,1,40,2,75,27,-15,0,189,14,1,9,9,79,4,0,4,220,-42,-165,4,18,0,1,-292,0,32,1062,1,2,50,249,2,3,101,0,1,2,0,14,0,7,88,20,47,2,11,3,16,0,2,8,221,47,0,-189,43,12,6,0,0,0,0,218,-177,0,5,0,13,103,789,3,0,12,4,-67,20,32,-111,233,7,12,39,188,175,0,191,4,18,138,83,2,57,27,9,173,2,2
4/25/20,8,0,35,3,2,0,5,19,0,2,26,0,2,64,85,29,0,4,85,147,20,2,0,-2,5,-2,6,27,2,3,31,1,0,13,7,47,18,0,9,0,0,0,786,1,5,78,0,0,36,24,0,0,0,2,0,0,1419,8,1,4,721,10,1,1,2,-2,8,10,0,88,623,38,4,-4,4,0,2,0,1050,4,-1,5,8,78,0,-4,0,2,6,4,51,66,4,47,1,1,4,0,1,11,3470,40,0,1,119,2,15,29,10,0,31,4,4,3,0,104,31,0,3,15,10,0,140,0,-7,151,5,1,59,46,0,0,-1,0,0,0,-23,0,24,1,16,1,-3,2,2,51,-10,0,1,-1,0,30,0,0,31,0,1,0,0,0,23,7,2,0,8,6,-1,2,5,389,18,5,5,74,17,2,1,17,0,0,8,6,20,94,0,2,24,55,0,0,45,0,0,1,1,1,0,-1,70,1,14,1,3,1,2,2,2,0,17,22,0,172,1,-5,0,0,0,0,0,1663,36,0,7,0,4,11,848,2,1,3,0,-1,-2,12,63,25,28,5,25,48,30,1,96,1,11,207,-43,2,28,3,1,10,1,-2
4/26/20,0,0,-1,0,0,0,1,0,0,1,2,0,0,48,185,0,0,0,0,35,0,0,0,0,0,0,7,4,2,0,23,0,0,0,3,6,1,0,0,0,0,-1,66,0,0,17,0,0,0,12,0,0,0,0,0,0,344,1,1,0,76,0,0,1,0,0,1,0,0,25,105,1,1,0,0,0,0,0,144,0,0,0,0,25,0,0,0,0,0,0,9,2,0,10,0,0,0,0,0,4,689,0,0,0,15,0,2,33,5,0,0,1,0,0,0,37,0,0,0,0,2,0,32,0,0,6,0,0,5,3,0,0,1,0,0,0,0,0,0,0,20,0,3,0,0,11,0,0,0,1,0,14,1,0,2,0,0,0,0,0,0,0,7,0,0,0,1,0,0,63,37,0,0,3,2,4,0,5,0,0,2,1,0,3,0,0,4,49,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,5,1,0,0,0,0,1,2,31,0,1,0,0,0,0,0,184,1,0,0,0,0,0,80,0,0,0,0,0,0,1,1,4,5,0,1,8,2,0,4,0,0,53,6,0,4,0,0,0,0,0
4/27/20,23,0,76,0,0,2,3,10,0,0,5,3,2,127,83,1,0,0,26,57,11,0,0,0,3,4,2,2,10,1,46,0,1,2,0,28,1,2,0,0,0,3,214,1,1,3,0,0,9,37,1,0,0,1,0,0,1297,0,3,2,197,4,0,1,1,1,3,8,0,86,185,2,1,7,1,0,3,1,481,1,0,7,0,80,0,0,0,5,12,4,68,2,2,1,3,0,0,1,0,1,2567,6,0,0,5,2,2,48,3,0,2,2,3,0,1,27,7,0,1,5,2,0,769,4,4,45,26,1,57,2,0,0,0,0,0,0,2,0,5,0,0,0,1,2,0,20,2,1,2,1,0,32,1,0,12,0,0,0,0,2,37,15,23,0,8,1,0,2,4,252,82,1,0,19,4,2,0,23,1,1,11,2,2,16,0,3,12,92,0,2,53,0,0,0,0,0,0,0,36,1,2,0,3,3,6,0,1,0,9,17,2,14,0,4,1,0,0,0,0,657,51,0,0,0,0,5,77,3,1,1,0,4,5,10,69,53,13,1,70,34,5,2,10,0,9,33,5,0,17,2,0,7,3,0
4/28/20,0,0,8,0,0,1,2,5,0,0,0,0,0,3,83,-6,0,-2,9,23,9,0,0,1,1,1,7,0,2,0,4,0,0,2,8,0,3,2,0,0,0,2,230,1,0,6,0,0,8,6,0,0,0,0,0,5,778,0,1,0,108,4,0,1,1,0,2,1,0,40,207,6,0,5,-1,0,0,0,227,0,0,1,0,36,2,0,0,1,1,1,18,6,0,9,0,0,0,0,0,0,661,0,-5,0,2,0,10,14,0,0,6,1,1,0,1,9,1,0,0,1,0,0,6,28,1,8,1,0,13,3,0,0,0,0,0,0,1,0,2,3,-2,0,1,1,2,7,0,1,0,0,0,9,-2,0,5,0,0,0,0,5,8,3,3,0,-1,1,-1,0,1,59,26,0,0,49,4,-1,0,10,0,1,0,1,2,10,1,0,5,14,0,1,5,0,0,0,0,1,0,0,13,0,-11,1,0,0,-1,0,0,0,-421,2,1,15,0,-1,1,0,0,0,1,300,432,0,1,0,0,0,21,0,1,0,0,0,1,5,17,20,2,0,4,57,3,0,8,2,2,11,3,0,2,0,0,0,1,0
4/29/20,37,0,74,1,0,0,5,6,0,1,8,0,3,156,347,14,0,-3,94,186,4,1,0,1,0,2,19,7,3,1,58,0,1,1,5,28,15,1,3,0,0,1,618,0,4,31,1,0,6,360,0,0,1,0,0,0,2057,4,1,2,450,4,0,2,2,0,0,2,0,142,427,20,0,9,1,1,0,3,786,2,0,6,0,738,0,2,0,2,10,2,66,66,7,21,0,0,7,0,0,13,3748,9,0,4,52,0,3,241,3,1,16,2,19,2,0,34,5,0,3,-8,10,0,504,2,2,65,4,1,58,21,0,0,11,0,0,2,1,1,7,1,27,0,4,3,1,50,2,1,1,2,0,8,1,1,29,0,1,0,0,8,15,5,14,0,5,4,2,0,1,426,3,1,0,28,8,2,1,20,0,0,36,4,2,22,0,5,29,33,0,0,27,0,0,3,0,1,0,2,40,0,1,3,1,9,3,0,0,0,1,5,1,25,1,22,0,0,0,0,0,1046,12,0,1,0,0,0,406,3,3,0,0,1,4,13,53,189,29,0,1,37,8,0,32,0,4,52,8,0,24,4,0,0,0,0
4/30/20,19,0,41,1,1,0,7,3,1,1,7,0,4,123,282,8,0,3,36,196,14,0,1,1,1,1,15,4,8,3,31,0,0,5,0,1,5,1,1,0,1,4,689,0,2,23,0,0,10,13,1,0,0,0,0,0,1264,3,0,2,255,5,0,2,0,1,1,17,0,58,203,8,0,1,5,1,0,0,296,0,4,12,2,1652,0,0,0,6,9,0,35,92,5,24,0,0,2,0,0,14,2309,8,1,0,23,0,8,151,2,3,18,2,10,0,0,15,5,0,0,14,10,0,299,0,3,37,1,1,42,32,0,0,1,3,0,0,1,1,12,1,6,0,4,0,2,16,1,0,0,0,0,58,1,0,5,0,2,0,0,6,20,8,11,0,5,6,1,0,2,176,34,0,2,23,5,3,0,12,0,0,46,0,2,13,0,2,25,34,0,0,21,0,0,2,0,3,0,0,30,2,1,1,3,7,6,0,0,1,2,8,0,86,2,14,1,0,0,0,0,637,47,0,2,0,2,27,246,2,5,0,1,0,0,5,39,105,3,0,14,5,2,0,15,0,1,50,3,0,6,1,0,2,1,1
5/1/20,-1,0,-1,0,0,0,0,0,0,0,-1,0,0,-61,13,1,0,0,-1,-3,-8,0,0,0,0,0,0,0,0,0,-40,0,0,1,0,1,0,0,2,0,0,0,-8,0,0,0,-1,0,0,-316,0,0,0,0,0,1,-135,0,0,0,11,0,0,0,0,0,0,-1,0,-9,1,0,0,0,0,0,0,0,33,-1,0,0,0,-56,0,0,0,0,0,-1,0,0,0,0,0,0,-8,0,1,-1,-142,0,0,-4,-2,0,1,29,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,-4,0,0,0,-2,0,0,0,0,0,0,0,0,0,-1,-1,16,0,-4,0,0,0,0,-2,0,0,0,0,0,0,0,0,-22,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-3,52,0,0,-7,0,0,0,0,0,0,0,0,0,1,0,0,1,43,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,41,0,0,0,0,0,-1,-4,0,0,0,-1,0,0,0,-2,0,-1,0,0,0,0,0,-29,0,0,-1,1,0,0,0,0,0,0,0
